ID,X,Y,zona
p2632,477898.0,2154813.0,zona13
p1785,479502.0,2153892.0,zona13
s231,480463.0,2157220.0,zona13
p2676,481580.0,2155790.0,zona13
s140,479995.0,2155926.0,zona13
s137,478946.0,2154626.0,zona13
s141,478781.0,2155913.0,zona13
cA_471,474937.0,2156068.0,zona13
cB_806,478379.0,2152790.0,zona13
cDW_47,478931.0,2154652.0,zona13
s102,482304.0,2153389.0,zona13
s142,478540.0,2153210.0,zona13
s236,480887.0,2154490.0,zona13
s78,481548.0,2153567.0,zona13
s229,478498.0,2156819.0,zona13
s234,477447.0,2154531.0,zona13
dSAT2,477297.0,2156705.0,zona13
dSAT3,475099.0,2155865.0,zona13
dSAT6,476895.0,2156973.0,zona13
dSAT7,476546.0,2156501.0,zona13
dSAT8,475940.0,2155955.0,zona13
s234_A,477447.0,2154531.0,zona13
p1875,483825.0,2153609.0,zona14
p2680,484885.0,2154196.0,zona14
p1727,482755.0,2155412.0,zona14
s241,482923.0,2153504.0,zona14
s24,483793.0,2154888.0,zona14
s99,484759.0,2153609.0,zona14
s184,482692.0,2154553.0,zona14
s321,485252.0,2154857.0,zona14
cBO_67,480849.0,2160316.0,zona15
c136_B,475524.0,2160683.0,zona15
d214CP,478198.0,2158209.0,zona15
d215CP,479589.0,2159343.0,zona15
d216CP,478564.0,2159096.0,zona15
d217CP,478729.0,2160073.0,zona15
d218CP,478552.0,2161792.0,zona15
d219CP,477495.0,2158976.0,zona15
d247CP,476834.0,2160656.0,zona15
.BG-99V,477239.0,2160540.0,zona15
c76_B,493235.0,2157321.0,zona16
cBX_60,494565.0,2160579.0,zona16
0.8138,492163.0,2159518.0,zona16
c511V,490400.0,2158417.0,zona16
cBX_50,496762.0,2165077.0,zona16
dEN58,492548.0,2159956.0,zona16
dEN42,496268.0,2160741.0,zona16
cBX_50V,496559.0,2164867.0,zona16
0.8037,487202.0,2158358.0,zona17
cC_411V,484975.0,2160126.0,zona17
cAO_24,483836.0,2160373.0,zona17
s75,485603.0,2158974.0,zona17
0.8037,487202.0,2158358.0,zona18
cC_411V,484975.0,2160126.0,zona18
cAO_24,483836.0,2160373.0,zona18
s75,485603.0,2158974.0,zona18
t45_AV,515628.0,2157261.0,zona1a
t46_A,516033.0,2157053.0,zona1a
tEN_97,511506.0,2157613.0,zona1a
TEO_20,512999.0,2156719.0,zona1a
tEP_38,514273.0,2156651.0,zona1a
tEP_47V,514051.0,2154378.0,zona1a
tEP_55V,511765.0,2153340.0,zona1a
tER_14,511021.0,2152754.0,zona1a
tER_87V,512431.0,2153896.0,zona1a
tER_88,513050.0,2154210.0,zona1a
tER_96,512131.0,2151504.0,zona1a
tES_05V,513344.0,2150127.0,zona1a
tES_07,511957.0,2150195.0,zona1a
tES_85,512348.0,2151054.0,zona1a
tES_99,513005.0,2149487.0,zona1a
tET_04,510625.0,2149985.0,zona1a
tEW_39,511100.0,2154062.0,zona1a
tEW_55,508889.0,2154433.0,zona1a
tER_27V,510843.0,2152323.0,zona1a
tES_65,510452.0,2150806.0,zona1a
tER_26V,509692.0,2150985.0,zona1a
t110_B,516669.0,2157498.0,zona1a
tBO_37V,515860.0,2154870.0,zona1a
tET_75,508083.0,2150621.0,zona1a
tEX_07V,510853.0,2155517.0,zona1a
tF_131,508852.0,2147119.0,zona2
tF_242,508749.0,2146340.0,zona2
tF_107,509340.0,2147819.0,zona2
tF_131,508852.0,2147119.0,zona2
tF_626,507742.0,2146091.0,zona2
t1_AV,509448.0,2147773.0,zona2
tF_626V,507730.0,2146110.0,zona2
cGO_83,505783.0,2141304.0,zona2a
.B-936,504038.0,2138842.0,zona2a
tCO_34,504195.0,2143683.0,zona2a
eTEX_10,503731.2989,2140058.399,zona2a
eTEX_11,504081.4383,2139843.329,zona2a
eTEX_12,504285.7553,2139443.819,zona2a
eTEX_13,503906.5375,2139167.117,zona2a
eTEX_14,504665.3191,2138337.449,zona2a
eTEX_15,504868.6039,2141872.047,zona2a
eTEX_16,503789.2526,2141933.258,zona2a
eTEX_2,503556.2232,2140212.039,zona2a
eTEX_3,502651.20700000005,2144422.61,zona2a
eTEX_4,502563.7494,2144115.244,zona2a
